nSim	inference	data	correct_inference	combination	param	median	q97_5	q2_5
119	heterogeneous	heterogeneous	correct	flu	alpha	0.0002676545	0.000856762	1.37089875e-05
119	heterogeneous	heterogeneous	correct	flu	beta	0.525290068178464	0.594432284952214	0.464678659871577
119	heterogeneous	heterogeneous	correct	flu	pInf	0.408616201661355	0.448124168004321	0.371663005687709
119	heterogeneous	heterogeneous	correct	flu	rInfSC	0.993848080775096	1.19055945646532	0.81561310338734
119	heterogeneous	heterogeneous	correct	flu	rSC	1.7469705477852	2.04510310175604	1.49686819087937
12	heterogeneous	heterogeneous	correct	flu	alpha	0.0005274645	0.0012148325	9.90705625e-05
12	heterogeneous	heterogeneous	correct	flu	beta	0.479938845804681	0.548505286987177	0.419937257557544
12	heterogeneous	heterogeneous	correct	flu	pInf	0.381178765646923	0.422187135152655	0.342911931736502
12	heterogeneous	heterogeneous	correct	flu	rInfSC	1.03631346540354	1.24734805407922	0.848819425693089
12	heterogeneous	heterogeneous	correct	flu	rSC	1.79135386164046	2.09147157001468	1.52696526361635
120	heterogeneous	heterogeneous	correct	flu	alpha	0.0002987905	0.0008941645	1.97872375e-05
120	heterogeneous	heterogeneous	correct	flu	beta	0.447953522862374	0.508437721782536	0.393106904874709
120	heterogeneous	heterogeneous	correct	flu	pInf	0.361065620810038	0.398565536299067	0.325043411884549
120	heterogeneous	heterogeneous	correct	flu	rInfSC	1.10970055955057	1.31891495673106	0.93906412993153
120	heterogeneous	heterogeneous	correct	flu	rSC	2.00066424134995	2.34718005679347	1.70806007932392
121	heterogeneous	heterogeneous	correct	flu	alpha	0.00013033	0.00055597775	4.16033e-06
121	heterogeneous	heterogeneous	correct	flu	beta	0.487336094405069	0.5533229782145	0.425618167237852
121	heterogeneous	heterogeneous	correct	flu	pInf	0.385739450842854	0.424964199038324	0.346634222658252
121	heterogeneous	heterogeneous	correct	flu	rInfSC	0.986251654369816	1.18935126291819	0.806678496654758
121	heterogeneous	heterogeneous	correct	flu	rSC	1.78870717625739	2.09099659839297	1.52497821921196
122	heterogeneous	heterogeneous	correct	flu	alpha	0.000506271	0.00112332125	9.24922125e-05
122	heterogeneous	heterogeneous	correct	flu	beta	0.458512405361217	0.51958205013976	0.396657349521937
122	heterogeneous	heterogeneous	correct	flu	pInf	0.367776561481872	0.405230917722009	0.32743555928815
122	heterogeneous	heterogeneous	correct	flu	rInfSC	1.14878025586572	1.38966673571383	0.945771866731505
122	heterogeneous	heterogeneous	correct	flu	rSC	1.76654256984219	2.05478407777741	1.48764006663979
123	heterogeneous	heterogeneous	correct	flu	alpha	0.000323229	0.00087598525	2.19814625e-05
123	heterogeneous	heterogeneous	correct	flu	beta	0.417167364346108	0.473551887384244	0.361838049807548
123	heterogeneous	heterogeneous	correct	flu	pInf	0.341089367418348	0.377213731325422	0.303604859861084
123	heterogeneous	heterogeneous	correct	flu	rInfSC	1.1662011587372	1.3982269107638	0.975464772300112
123	heterogeneous	heterogeneous	correct	flu	rSC	2.05067211361288	2.44068178890871	1.74727511389438
124	heterogeneous	heterogeneous	correct	flu	alpha	0.000127499	0.000492883375	5.82822375e-06
124	heterogeneous	heterogeneous	correct	flu	beta	0.474667574959006	0.53382540520784	0.418594729278564
124	heterogeneous	heterogeneous	correct	flu	pInf	0.37790817884951	0.413642380929354	0.342029183977176
124	heterogeneous	heterogeneous	correct	flu	rInfSC	1.2177205149804	1.44265041844228	1.01519543989028
124	heterogeneous	heterogeneous	correct	flu	rSC	1.85962612236268	2.17637155069458	1.61256585680508
125	heterogeneous	heterogeneous	correct	flu	alpha	0.000312603	0.0007835905	3.84077625e-05
125	heterogeneous	heterogeneous	correct	flu	beta	0.509353884325546	0.575633363960165	0.446391163581089
125	heterogeneous	heterogeneous	correct	flu	pInf	0.399116305891943	0.437651353289612	0.360066594535981
125	heterogeneous	heterogeneous	correct	flu	rInfSC	1.03286208433076	1.22791544491515	0.856651662322771
125	heterogeneous	heterogeneous	correct	flu	rSC	1.78426775880974	2.07318611902192	1.53163321119484
126	heterogeneous	heterogeneous	correct	flu	alpha	0.0001557685	0.000605287625	8.07091625e-06
126	heterogeneous	heterogeneous	correct	flu	beta	0.488308703784313	0.549332758967928	0.424558633260286
126	heterogeneous	heterogeneous	correct	flu	pInf	0.386336596201134	0.422665091788558	0.345941503538442
126	heterogeneous	heterogeneous	correct	flu	rInfSC	1.02894578933256	1.22396385665852	0.867204911848621
126	heterogeneous	heterogeneous	correct	flu	rSC	1.85451686142676	2.16811597132545	1.59584831590362
127	heterogeneous	heterogeneous	correct	flu	alpha	7.79752e-05	0.000403174875	2.84945e-06
127	heterogeneous	heterogeneous	correct	flu	beta	0.46710141901378	0.52613038677608	0.409454227609201
127	heterogeneous	heterogeneous	correct	flu	pInf	0.373183483581101	0.40911294418813	0.335987446527673
127	heterogeneous	heterogeneous	correct	flu	rInfSC	1.14174606110463	1.37541203860829	0.940580179838811
127	heterogeneous	heterogeneous	correct	flu	rSC	1.76798863824777	2.05668347329553	1.50397878095456
128	heterogeneous	heterogeneous	correct	flu	alpha	0.000188321	0.000594747625	1.0249675e-05
128	heterogeneous	heterogeneous	correct	flu	beta	0.493250836379012	0.55955704702517	0.435698261443398
128	heterogeneous	heterogeneous	correct	flu	pInf	0.389361920144743	0.428537861342734	0.353187134222519
128	heterogeneous	heterogeneous	correct	flu	rInfSC	0.917928059064075	1.11625737131017	0.763162177463888
128	heterogeneous	heterogeneous	correct	flu	rSC	1.87713232918772	2.20210297681528	1.60014693553078
129	heterogeneous	heterogeneous	correct	flu	alpha	0.0001208175	0.0005701305	4.5209625e-06
129	heterogeneous	heterogeneous	correct	flu	beta	0.454948122363587	0.513970155588288	0.40184620164299
129	heterogeneous	heterogeneous	correct	flu	pInf	0.365519117536624	0.401883747087124	0.330916355508463
129	heterogeneous	heterogeneous	correct	flu	rInfSC	1.14320149838221	1.38365102907471	0.950171803441766
129	heterogeneous	heterogeneous	correct	flu	rSC	1.95195460615719	2.2680247515628	1.67010123941873
13	heterogeneous	heterogeneous	correct	flu	alpha	0.000162651	0.000619279375	7.13271125e-06
13	heterogeneous	heterogeneous	correct	flu	beta	0.529656975916192	0.600236931644784	0.46731664701505
13	heterogeneous	heterogeneous	correct	flu	pInf	0.411193089922958	0.451318379300415	0.373318377873155
13	heterogeneous	heterogeneous	correct	flu	rInfSC	0.871885193405846	1.02651214381034	0.729102864287025
13	heterogeneous	heterogeneous	correct	flu	rSC	1.85042462638276	2.16720521023149	1.59507196830555
130	heterogeneous	heterogeneous	correct	flu	alpha	0.000527311	0.001206215	8.2142075e-05
130	heterogeneous	heterogeneous	correct	flu	beta	0.508661665029836	0.575692237769854	0.446562985092401
130	heterogeneous	heterogeneous	correct	flu	pInf	0.39870021861644	0.437684520501092	0.360176539700271
130	heterogeneous	heterogeneous	correct	flu	rInfSC	0.892315379947889	1.067899342003	0.744502181371403
130	heterogeneous	heterogeneous	correct	flu	rSC	1.879798198318	2.19564338589408	1.61966050128797
131	heterogeneous	heterogeneous	correct	flu	alpha	0.0001636545	0.000634117375	6.05743125e-06
131	heterogeneous	heterogeneous	correct	flu	beta	0.490486730825455	0.553323055560702	0.431814621954432
131	heterogeneous	heterogeneous	correct	flu	pInf	0.387671717397488	0.424964226833434	0.350670206277332
131	heterogeneous	heterogeneous	correct	flu	rInfSC	1.08687501433078	1.28139845852398	0.90461819103121
131	heterogeneous	heterogeneous	correct	flu	rSC	1.96735180078483	2.28175928752207	1.69990367920893
132	heterogeneous	heterogeneous	correct	flu	alpha	0.0001491395	0.000565563	7.62308375e-06
132	heterogeneous	heterogeneous	correct	flu	beta	0.523734499933475	0.591474911614513	0.458424918307133
132	heterogeneous	heterogeneous	correct	flu	pInf	0.407695548345118	0.446489695977805	0.367721244061007
132	heterogeneous	heterogeneous	correct	flu	rInfSC	0.914373495689241	1.11756683787606	0.745145046402704
132	heterogeneous	heterogeneous	correct	flu	rSC	1.69456772682053	2.00996579100221	1.4534807880204
133	heterogeneous	heterogeneous	correct	flu	alpha	6.592255e-05	0.00034752875	2.51468625e-06
133	heterogeneous	heterogeneous	correct	flu	beta	0.467770132325937	0.526567675458425	0.408607795487761
133	heterogeneous	heterogeneous	correct	flu	pInf	0.373602504226564	0.409371275888841	0.335425169505698
133	heterogeneous	heterogeneous	correct	flu	rInfSC	1.02828293564646	1.23828947552218	0.850354086481356
133	heterogeneous	heterogeneous	correct	flu	rSC	2.03645457443386	2.36418078431039	1.72847482327544
134	heterogeneous	heterogeneous	correct	flu	alpha	0.0001265335	0.000500151	6.05661375e-06
134	heterogeneous	heterogeneous	correct	flu	beta	0.467561476993632	0.530943662411897	0.406461559687128
134	heterogeneous	heterogeneous	correct	flu	pInf	0.373471789141564	0.411950212704458	0.333997299761488
134	heterogeneous	heterogeneous	correct	flu	rInfSC	1.11368186305813	1.33374204747023	0.930776713210324
134	heterogeneous	heterogeneous	correct	flu	rSC	1.72874895814763	2.02808375653645	1.46894110564196
135	heterogeneous	heterogeneous	correct	flu	alpha	0.0001030475	0.000459829625	4.63596125e-06
135	heterogeneous	heterogeneous	correct	flu	beta	0.448958378673219	0.510966515750711	0.395164174529673
135	heterogeneous	heterogeneous	correct	flu	pInf	0.361707335106985	0.40008452922614	0.326430550993725
135	heterogeneous	heterogeneous	correct	flu	rInfSC	1.09672151632934	1.33019252462914	0.904698048127786
135	heterogeneous	heterogeneous	correct	flu	rSC	1.95851494528717	2.28139858223725	1.67238448215167
136	heterogeneous	heterogeneous	correct	flu	alpha	0.000356981	0.0010677025	2.23864875e-05
136	heterogeneous	heterogeneous	correct	flu	beta	0.507560097858887	0.568412641879221	0.448217369795614
136	heterogeneous	heterogeneous	correct	flu	pInf	0.398037481868877	0.433576116183303	0.361234164320954
136	heterogeneous	heterogeneous	correct	flu	rInfSC	1.20801834356593	1.42913732159462	1.0158335435635
136	heterogeneous	heterogeneous	correct	flu	rSC	1.83744492745206	2.12440542019728	1.58144319924816
137	heterogeneous	heterogeneous	correct	flu	alpha	0.000161711	0.000576393875	6.9927225e-06
137	heterogeneous	heterogeneous	correct	flu	beta	0.444716224708376	0.505336254610772	0.392013209655712
137	heterogeneous	heterogeneous	correct	flu	pInf	0.358993847400741	0.396697320048653	0.324304809191218
137	heterogeneous	heterogeneous	correct	flu	rInfSC	1.42850715787724	1.69533722353922	1.2086574394121
137	heterogeneous	heterogeneous	correct	flu	rSC	1.78934412298311	2.10816161165352	1.52947369412236
138	heterogeneous	heterogeneous	correct	flu	alpha	0.0002742785	0.000801883875	2.642745e-05
138	heterogeneous	heterogeneous	correct	flu	beta	0.515580590262105	0.58691066552579	0.454666244195888
138	heterogeneous	heterogeneous	correct	flu	pInf	0.402846207197996	0.443957562701431	0.365340236678699
138	heterogeneous	heterogeneous	correct	flu	rInfSC	1.00140105895394	1.19265954247602	0.827741911840833
138	heterogeneous	heterogeneous	correct	flu	rSC	1.94027259364574	2.25285365822095	1.64821248580549
139	heterogeneous	heterogeneous	correct	flu	alpha	0.000189377	0.000670071125	9.543145e-06
139	heterogeneous	heterogeneous	correct	flu	beta	0.447493938861386	0.512724247834128	0.39171297319485
139	heterogeneous	heterogeneous	correct	flu	pInf	0.360771909262366	0.401138090379593	0.324101905039287
139	heterogeneous	heterogeneous	correct	flu	rInfSC	1.08696006623706	1.31600442908793	0.900757132970943
139	heterogeneous	heterogeneous	correct	flu	rSC	1.91400564071661	2.24056715921306	1.62251052839339
14	heterogeneous	heterogeneous	correct	flu	alpha	0.000208954	0.000659265375	1.0147e-05
14	heterogeneous	heterogeneous	correct	flu	beta	0.447857182173964	0.512650344955127	0.391370443112517
14	heterogeneous	heterogeneous	correct	flu	pInf	0.361004062427639	0.401093833743123	0.32387035732093
14	heterogeneous	heterogeneous	correct	flu	rInfSC	1.12539424005763	1.34504426417092	0.922751833160742
14	heterogeneous	heterogeneous	correct	flu	rSC	1.90911833197437	2.20768596067878	1.6404418146822
140	heterogeneous	heterogeneous	correct	flu	alpha	0.0001232915	0.0004988115	6.1558125e-06
140	heterogeneous	heterogeneous	correct	flu	beta	0.463435963296275	0.523483159740003	0.408442913451192
140	heterogeneous	heterogeneous	correct	flu	pInf	0.370881697214925	0.40754665969696	0.335315581178354
140	heterogeneous	heterogeneous	correct	flu	rInfSC	0.969993283393858	1.17290617413346	0.796174382105867
140	heterogeneous	heterogeneous	correct	flu	rSC	1.83259266758108	2.16194656423723	1.54479682990456
141	heterogeneous	heterogeneous	correct	flu	alpha	0.0002616815	0.00077060775	1.470255e-05
141	heterogeneous	heterogeneous	correct	flu	beta	0.475323183944216	0.538389243232774	0.415276234224631
141	heterogeneous	heterogeneous	correct	flu	pInf	0.378315894321777	0.416312218491839	0.339842095144509
141	heterogeneous	heterogeneous	correct	flu	rInfSC	1.12091479105063	1.34224814808904	0.924269078512172
141	heterogeneous	heterogeneous	correct	flu	rSC	1.96181522851534	2.31430200053022	1.69176685472334
142	heterogeneous	heterogeneous	correct	flu	alpha	0.000210116	0.000706491	1.5204125e-05
142	heterogeneous	heterogeneous	correct	flu	beta	0.509073625296556	0.576025682954137	0.44514357513064
142	heterogeneous	heterogeneous	correct	flu	pInf	0.398947878570801	0.437871991340694	0.359267723491944
142	heterogeneous	heterogeneous	correct	flu	rInfSC	0.955132645113342	1.1494611687915	0.794629936406173
142	heterogeneous	heterogeneous	correct	flu	rSC	1.93879984438285	2.2504845921716	1.66339947288597
143	heterogeneous	heterogeneous	correct	flu	alpha	0.0001718845	0.00063624975	7.2337425e-06
143	heterogeneous	heterogeneous	correct	flu	beta	0.456456188699081	0.514237646928703	0.399358989304643
143	heterogeneous	heterogeneous	correct	flu	pInf	0.366475235353434	0.402043723265253	0.329250107858934
143	heterogeneous	heterogeneous	correct	flu	rInfSC	0.962232422240206	1.17769988792804	0.776884419778794
143	heterogeneous	heterogeneous	correct	flu	rSC	1.91455898806444	2.25816300889629	1.64173811182034
144	heterogeneous	heterogeneous	correct	flu	alpha	0.000220836	0.00070830525	1.31946125e-05
144	heterogeneous	heterogeneous	correct	flu	beta	0.47092770464987	0.528618220166428	0.413038588570145
144	heterogeneous	heterogeneous	correct	flu	pInf	0.375577280347126	0.410581144636197	0.338363245642172
144	heterogeneous	heterogeneous	correct	flu	rInfSC	1.02340946830473	1.21416892807713	0.851816705404791
144	heterogeneous	heterogeneous	correct	flu	rSC	1.93994890324368	2.27358439536972	1.65806610233245
145	heterogeneous	heterogeneous	correct	flu	alpha	0.0002765385	0.000802217375	1.757225e-05
145	heterogeneous	heterogeneous	correct	flu	beta	0.507178503278129	0.575895260296054	0.444973223754764
145	heterogeneous	heterogeneous	correct	flu	pInf	0.397807732405217	0.437798613627548	0.359158559861402
145	heterogeneous	heterogeneous	correct	flu	rInfSC	1.00739834057397	1.20924936218346	0.82896400757888
145	heterogeneous	heterogeneous	correct	flu	rSC	1.71908892854554	2.01466618266145	1.47254977073129
146	heterogeneous	heterogeneous	correct	flu	alpha	0.0001348625	0.000497597625	6.26139875e-06
146	heterogeneous	heterogeneous	correct	flu	beta	0.456537303060953	0.516360799492095	0.399991493040074
146	heterogeneous	heterogeneous	correct	flu	pInf	0.366526621540334	0.403311930154431	0.329674248830766
146	heterogeneous	heterogeneous	correct	flu	rInfSC	1.15077315044994	1.36567209772311	0.961867298839755
146	heterogeneous	heterogeneous	correct	flu	rSC	2.0091759101135	2.32072520072608	1.74894693544496
147	heterogeneous	heterogeneous	correct	flu	alpha	0.0002900215	0.0008824595	1.47119625e-05
147	heterogeneous	heterogeneous	correct	flu	beta	0.51492641123952	0.578238888746169	0.448464405418908
147	heterogeneous	heterogeneous	correct	flu	pInf	0.402455433899554	0.439114720762251	0.361391956608793
147	heterogeneous	heterogeneous	correct	flu	rInfSC	0.971600128618096	1.16597702321178	0.81602657874906
147	heterogeneous	heterogeneous	correct	flu	rSC	1.70569292404677	1.99887151015359	1.46541887143006
148	heterogeneous	heterogeneous	correct	flu	alpha	0.0002523405	0.000703951375	1.7575625e-05
148	heterogeneous	heterogeneous	correct	flu	beta	0.499569475862575	0.566525267122027	0.43679565254064
148	heterogeneous	heterogeneous	correct	flu	pInf	0.393208157975984	0.432506092840737	0.353896546431799
148	heterogeneous	heterogeneous	correct	flu	rInfSC	0.992550905479009	1.18792571924205	0.814139283744114
