param	prob	nSim	combination	correct_inference
data	0.806616041513297	137	flu	correct
alpha	0.246714031971581	138	flu	correct
beta	0.23363676731794	138	flu	correct
rSC	0.232460035523979	138	flu	correct
rInfSC	0.238765541740675	138	flu	correct
data	0.804229921791554	138	flu	correct
alpha	0.250266429840142	139	flu	correct
beta	0.249356127886323	139	flu	correct
rSC	0.244738010657194	139	flu	correct
rInfSC	0.25848134991119	139	flu	correct
data	0.810190785396067	139	flu	correct
alpha	0.262433392539964	14	flu	correct
beta	0.242340142095915	14	flu	correct
rSC	0.238743339253996	14	flu	correct
rInfSC	0.254951154529307	14	flu	correct
data	0.810286596775977	14	flu	correct
alpha	0.322446714031972	140	flu	correct
beta	0.246247779751332	140	flu	correct
rSC	0.243095026642984	140	flu	correct
rInfSC	0.248845470692718	140	flu	correct
data	0.807620659532938	140	flu	correct
alpha	0.240785968028419	141	flu	correct
beta	0.236523090586146	141	flu	correct
rSC	0.239120781527531	141	flu	correct
rInfSC	0.246958259325044	141	flu	correct
data	0.807865721221252	141	flu	correct
alpha	0.262744227353464	142	flu	correct
beta	0.234835701598579	142	flu	correct
rSC	0.232682060390764	142	flu	correct
rInfSC	0.241873889875666	142	flu	correct
data	0.80681679237593	142	flu	correct
alpha	0.268516873889876	143	flu	correct
beta	0.247202486678508	143	flu	correct
rSC	0.247535523978686	143	flu	correct
rInfSC	0.252841918294849	143	flu	correct
data	0.809935263817163	143	flu	correct
alpha	0.258814387211368	144	flu	correct
beta	0.243827708703375	144	flu	correct
rSC	0.237011545293073	144	flu	correct
rInfSC	0.249955595026643	144	flu	correct
data	0.808079416764973	144	flu	correct
alpha	0.252042628774423	145	flu	correct
beta	0.238965364120782	145	flu	correct
rSC	0.236301065719361	145	flu	correct
rInfSC	0.248179396092362	145	flu	correct
data	0.80833404101628	145	flu	correct
alpha	0.29003108348135	146	flu	correct
beta	0.233237122557726	146	flu	correct
rSC	0.235901420959147	146	flu	correct
rInfSC	0.245270870337478	146	flu	correct
data	0.808710929439587	146	flu	correct
alpha	0.217717584369449	147	flu	correct
beta	0.245603907637655	147	flu	correct
rSC	0.237233570159858	147	flu	correct
rInfSC	0.252864120781528	147	flu	correct
data	0.811724616937166	147	flu	correct
alpha	0.271714031971581	148	flu	correct
beta	0.24240674955595	148	flu	correct
rSC	0.234480461811723	148	flu	correct
rInfSC	0.245803730017762	148	flu	correct
data	0.80694646304734	148	flu	correct
alpha	0.273778863232682	149	flu	correct
beta	0.238454706927176	149	flu	correct
rSC	0.235723801065719	149	flu	correct
rInfSC	0.25446269982238	149	flu	correct
data	0.807589410916278	149	flu	correct
alpha	0.337855239786856	15	flu	correct
beta	0.23050621669627	15	flu	correct
rSC	0.222602131438721	15	flu	correct
rInfSC	0.235102131438721	15	flu	correct
data	0.802825501758628	15	flu	correct
alpha	0.265319715808171	150	flu	correct
beta	0.245004440497336	150	flu	correct
rSC	0.240253108348135	150	flu	correct
rInfSC	0.24851243339254	150	flu	correct
data	0.8091815161134	150	flu	correct
alpha	0.191452042628774	151	flu	correct
beta	0.253108348134991	151	flu	correct
rSC	0.255794849023091	151	flu	correct
rInfSC	0.256016873889876	151	flu	correct
data	0.811765882434005	151	flu	correct
alpha	0.253263765541741	152	flu	correct
beta	0.235102131438721	152	flu	correct
rSC	0.225910301953819	152	flu	correct
rInfSC	0.240852575488455	152	flu	correct
data	0.807465573587681	152	flu	correct
alpha	0.234813499111901	153	flu	correct
beta	0.235013321492007	153	flu	correct
rSC	0.240008880994671	153	flu	correct
rInfSC	0.252575488454707	153	flu	correct
data	0.80920422010778	153	flu	correct
alpha	0.203063943161634	154	flu	correct
beta	0.236567495559503	154	flu	correct
rSC	0.235657193605684	154	flu	correct
rInfSC	0.250643872113677	154	flu	correct
data	0.810457290240076	154	flu	correct
alpha	0.228619005328597	155	flu	correct
beta	0.244604795737123	155	flu	correct
rSC	0.231949378330373	155	flu	correct
rInfSC	0.247735346358792	155	flu	correct
data	0.807154334715049	155	flu	correct
alpha	0.235923623445826	156	flu	correct
beta	0.235057726465364	156	flu	correct
rSC	0.236967140319716	156	flu	correct
rInfSC	0.250421847246892	156	flu	correct
data	0.80735735058841	156	flu	correct
alpha	0.255617229129663	157	flu	correct
beta	0.235257548845471	157	flu	correct
rSC	0.235257548845471	157	flu	correct
rInfSC	0.242473357015986	157	flu	correct
data	0.809037585638163	157	flu	correct
alpha	0.247690941385435	158	flu	correct
beta	0.237988454706927	158	flu	correct
rSC	0.23541296625222	158	flu	correct
rInfSC	0.250399644760213	158	flu	correct
data	0.808947551613835	158	flu	correct
alpha	0.237611012433393	159	flu	correct
beta	0.235945825932504	159	flu	correct
rSC	0.236190053285968	159	flu	correct
rInfSC	0.248134991119005	159	flu	correct
data	0.80880025892832	159	flu	correct
alpha	0.267584369449378	16	flu	correct
beta	0.246247779751332	16	flu	correct
rSC	0.249200710479574	16	flu	correct
rInfSC	0.247069271758437	16	flu	correct
data	0.808164120165148	16	flu	correct
alpha	0.262588809946714	160	flu	correct
beta	0.240586145648313	160	flu	correct
rSC	0.240519538188277	160	flu	correct
rInfSC	0.251398756660746	160	flu	correct
data	0.807964236858138	160	flu	correct
alpha	0.323712255772647	161	flu	correct
beta	0.235190941385435	161	flu	correct
rSC	0.235768206039076	161	flu	correct
rInfSC	0.243738898756661	161	flu	correct
data	0.805348678683773	161	flu	correct
alpha	0.277930728241563	162	flu	correct
beta	0.23854351687389	162	flu	correct
rSC	0.23452486678508	162	flu	correct
rInfSC	0.249911190053286	162	flu	correct
data	0.80859776277672	162	flu	correct
alpha	0.294182948490231	163	flu	correct
beta	0.22946269982238	163	flu	correct
rSC	0.236256660746004	163	flu	correct
rInfSC	0.2398756660746	163	flu	correct
data	0.805166155130125	163	flu	correct
alpha	0.199911190053286	164	flu	correct
beta	0.257371225577265	164	flu	correct
rSC	0.26503108348135	164	flu	correct
rInfSC	0.273246003552398	164	flu	correct
data	0.813340836485963	164	flu	correct
alpha	0.251287744227353	165	flu	correct
beta	0.237522202486679	165	flu	correct
rSC	0.250488454706927	165	flu	correct
rInfSC	0.246380994671403	165	flu	correct
data	0.808873298912689	165	flu	correct
alpha	0.360968028419183	166	flu	correct
beta	0.231882770870337	166	flu	correct
rSC	0.233015097690941	166	flu	correct
rInfSC	0.242428952042629	166	flu	correct
data	0.804512306919471	166	flu	correct
alpha	0.231616341030195	167	flu	correct
beta	0.243761101243339	167	flu	correct
rSC	0.242384547069272	167	flu	correct
rInfSC	0.247357904085258	167	flu	correct
data	0.811047210852833	167	flu	correct
alpha	0.18259325044405	168	flu	correct
beta	0.243716696269982	168	flu	correct
rSC	0.248246003552398	168	flu	correct
rInfSC	0.260235346358792	168	flu	correct
data	0.812694550699899	168	flu	correct
alpha	0.245226465364121	169	flu	correct
beta	0.243472468916519	169	flu	correct
rSC	0.23541296625222	169	flu	correct
rInfSC	0.258281527531083	169	flu	correct
data	0.809640723514665	169	flu	correct
alpha	0.225111012433393	17	flu	correct
beta	0.239986678507993	17	flu	correct
rSC	0.241385435168739	17	flu	correct
rInfSC	0.251820603907638	17	flu	correct
data	0.809579410724081	17	flu	correct
alpha	0.259946714031972	170	flu	correct
beta	0.239564831261101	170	flu	correct
rSC	0.236745115452931	170	flu	correct
rInfSC	0.241096802841918	170	flu	correct
data	0.807768596741874	170	flu	correct
alpha	0.230261989342806	171	flu	correct
beta	0.243361456483126	171	flu	correct
rSC	0.234658081705151	171	flu	correct
rInfSC	0.243960923623446	171	flu	correct
data	0.80830526779732	171	flu	correct
alpha	0.273601243339254	172	flu	correct
beta	0.244316163410302	172	flu	correct
rSC	0.242317939609236	172	flu	correct
rInfSC	0.253641207815275	172	flu	correct
data	0.807828649758162	172	flu	correct
alpha	0.406372113676732	173	flu	correct
beta	0.239698046181172	173	flu	correct
rSC	0.236767317939609	173	flu	correct
rInfSC	0.255794849023091	173	flu	correct
data	0.805121415171533	173	flu	correct
alpha	0.275244227353464	174	flu	correct
beta	0.23958703374778	174	flu	correct
rSC	0.242162522202487	174	flu	correct
rInfSC	0.245182060390764	174	flu	correct
data	0.807363925864348	174	flu	correct
alpha	0.201154529307282	175	flu	correct
beta	0.24047513321492	175	flu	correct
rSC	0.235368561278863	175	flu	correct
rInfSC	0.249422735346359	175	flu	correct
data	0.8097257580349	175	flu	correct
alpha	0.243916518650089	176	flu	correct
beta	0.237588809946714	176	flu	correct
rSC	0.233348134991119	176	flu	correct
rInfSC	0.247357904085258	176	flu	correct
data	0.809187385150731	176	flu	correct
alpha	0.324467140319716	177	flu	correct
beta	0.233547957371226	177	flu	correct
rSC	0.23452486678508	177	flu	correct
rInfSC	0.250666074600355	177	flu	correct
data	0.806070983683659	177	flu	correct
alpha	0.183170515097691	178	flu	correct
beta	0.243849911190053	178	flu	correct
rSC	0.248867673179396	178	flu	correct
rInfSC	0.259347246891652	178	flu	correct
data	0.812903432168348	178	flu	correct
alpha	0.257015985790409	179	flu	correct
beta	0.232171403197158	179	flu	correct
rSC	0.228197158081705	179	flu	correct
rInfSC	0.241896092362345	179	flu	correct
data	0.807117752341466	179	flu	correct
alpha	0.209880106571936	18	flu	correct
beta	0.24360568383659	18	flu	correct
rSC	0.233214920071048	18	flu	correct
rInfSC	0.247846358792185	18	flu	correct
data	0.809678693791988	18	flu	correct
alpha	0.347002664298401	180	flu	correct
beta	0.238055062166963	180	flu	correct
rSC	0.237166962699822	180	flu	correct
rInfSC	0.244227353463588	180	flu	correct
data	0.804629309147735	180	flu	correct
alpha	0.235790408525755	181	flu	correct
beta	0.23958703374778	181	flu	correct
rSC	0.244138543516874	181	flu	correct
rInfSC	0.252575488454707	181	flu	correct
data	0.809922913066944	181	flu	correct
alpha	0.282371225577265	182	flu	correct
beta	0.239076376554174	182	flu	correct
rSC	0.233903197158082	182	flu	correct
rInfSC	0.246492007104796	182	flu	correct
data	0.808041895818579	182	flu	correct
alpha	0.331816163410302	183	flu	correct
beta	0.238854351687389	183	flu	correct
rSC	0.245670515097691	183	flu	correct
rInfSC	0.242073712255773	183	flu	correct
data	0.806397599172837	183	flu	correct
alpha	0.26161190053286	184	flu	correct
beta	0.239520426287744	184	flu	correct
rSC	0.244738010657194	184	flu	correct
rInfSC	0.254307282415631	184	flu	correct
data	0.809476323553867	184	flu	correct
alpha	0.242695381882771	185	flu	correct
beta	0.232260213143872	185	flu	correct
rSC	0.234547069271758	185	flu	correct
rInfSC	0.240297513321492	185	flu	correct
data	0.807172213238131	185	flu	correct
alpha	0.22440053285968	186	flu	correct
beta	0.241851687388988	186	flu	correct
rSC	0.245670515097691	186	flu	correct
rInfSC	0.246158969804618	186	flu	correct
data	0.808782511415894	186	flu	correct
alpha	0.245936944937833	187	flu	correct
beta	0.237921847246892	187	flu	correct
rSC	0.240008880994671	187	flu	correct
rInfSC	0.250066607460036	187	flu	correct
data	0.80722136194774	187	flu	correct
alpha	0.28794404973357	188	flu	correct
beta	0.24285079928952	188	flu	correct
rSC	0.235013321492007	188	flu	correct
rInfSC	0.248845470692718	188	flu	correct
data	0.807490428088785	188	flu	correct
alpha	0.29538188277087	189	flu	correct
beta	0.238698934280639	189	flu	correct
rSC	0.23035079928952	189	flu	correct
rInfSC	0.243583481349911	189	flu	correct
data	0.80749584022376	189	flu	correct
alpha	0.214809058614565	19	flu	correct
beta	0.239076376554174	19	flu	correct
rSC	0.241230017761989	19	flu	correct
rInfSC	0.250022202486679	19	flu	correct
data	0.810359425025096	19	flu	correct
alpha	0.259191829484902	190	flu	correct
beta	0.240586145648313	190	flu	correct
rSC	0.241474245115453	190	flu	correct
rInfSC	0.244849023090586	190	flu	correct
data	0.808522942397155	190	flu	correct
alpha	0.299622557726465	191	flu	correct
beta	0.240674955595027	191	flu	correct
rSC	0.239942273534636	191	flu	correct
rInfSC	0.244249555950266	191	flu	correct
data	0.807952934621138	191	flu	correct
alpha	0.251065719360568	192	flu	correct
beta	0.243428063943162	192	flu	correct
rSC	0.236145648312611	192	flu	correct
rInfSC	0.248490230905861	192	flu	correct
data	0.808641072276839	192	flu	correct
alpha	0.244360568383659	193	flu	correct
beta	0.231527531083481	193	flu	correct
rSC	0.219360568383659	193	flu	correct
rInfSC	0.24658081705151	193	flu	correct
data	0.807339501639568	193	flu	correct
alpha	0.26161190053286	194	flu	correct
beta	0.238343694493783	194	flu	correct
rSC	0.24240674955595	194	flu	correct
rInfSC	0.244316163410302	194	flu	correct
data	0.809702692376126	194	flu	correct
alpha	0.209258436944938	195	flu	correct
beta	0.239476021314387	195	flu	correct
rSC	0.23035079928952	195	flu	correct
rInfSC	0.250244227353464	195	flu	correct
data	0.809022407816073	195	flu	correct
alpha	0.172579928952043	196	flu	correct
beta	0.244515985790409	196	flu	correct
rSC	0.244715808170515	196	flu	correct
rInfSC	0.248623445825933	196	flu	correct
data	0.812472453397306	196	flu	correct
alpha	0.204063055062167	197	flu	correct
beta	0.24404973357016	197	flu	correct
rSC	0.245781527531083	197	flu	correct
rInfSC	0.257704262877442	197	flu	correct
data	0.811684304953394	197	flu	correct
alpha	0.212078152753108	198	flu	correct
beta	0.244449378330373	198	flu	correct
rSC	0.249222912966252	198	flu	correct
rInfSC	0.245914742451155	198	flu	correct
data	0.8107918104542	198	flu	correct
alpha	0.284880106571936	199	flu	correct
beta	0.228507992895204	199	flu	correct
rSC	0.231150088809947	199	flu	correct
rInfSC	0.236412078152753	199	flu	correct
data	0.805357188850662	199	flu	correct
alpha	0.219626998223801	2	flu	correct
beta	0.242917406749556	2	flu	correct
rSC	0.240053285968028	2	flu	correct
rInfSC	0.253707815275311	2	flu	correct
data	0.810401718856278	2	flu	correct
alpha	0.21234458259325	20	flu	correct
beta	0.24940053285968	20	flu	correct
rSC	0.245470692717584	20	flu	correct
rInfSC	0.252664298401421	20	flu	correct
data	0.811190704782527	20	flu	correct
alpha	0.204373889875666	200	flu	correct
beta	0.24851243339254	200	flu	correct
rSC	0.244227353463588	200	flu	correct
rInfSC	0.246625222024867	200	flu	correct
data	0.811352376140103	200	flu	correct
alpha	0.212833037300178	201	flu	correct
beta	0.242229129662522	201	flu	correct
rSC	0.241540852575488	201	flu	correct
rInfSC	0.248534635879218	201	flu	correct
data	0.809488155554971	201	flu	correct
alpha	0.180617229129663	202	flu	correct
beta	0.258880994671403	202	flu	correct
rSC	0.252886323268206	202	flu	correct
rInfSC	0.2574378330373	202	flu	correct
data	0.813830223606697	202	flu	correct
alpha	0.260501776198934	203	flu	correct
beta	0.245426287744227	203	flu	correct
rSC	0.238055062166963	203	flu	correct
rInfSC	0.239098579040853	203	flu	correct
data	0.809594394270884	203	flu	correct
alpha	0.221691829484902	204	flu	correct
beta	0.253041740674956	204	flu	correct
rSC	0.241563055062167	204	flu	correct
rInfSC	0.253441385435169	204	flu	correct
data	0.811870611995409	204	flu	correct
alpha	0.234480461811723	205	flu	correct
beta	0.248912078152753	205	flu	correct
rSC	0.242673179396092	205	flu	correct
rInfSC	0.25044404973357	205	flu	correct
data	0.809880687413004	205	flu	correct
alpha	0.33854351687389	206	flu	correct
beta	0.234835701598579	206	flu	correct
rSC	0.234347246891652	206	flu	correct
rInfSC	0.238610124333925	206	flu	correct
data	0.804782788889747	206	flu	correct
alpha	0.264054174067496	207	flu	correct
beta	0.231083481349911	207	flu	correct
rSC	0.231083481349911	207	flu	correct
rInfSC	0.239942273534636	207	flu	correct
data	0.80663223641676	207	flu	correct
alpha	0.291607460035524	208	flu	correct
beta	0.234214031971581	208	flu	correct
rSC	0.228463587921847	208	flu	correct
rInfSC	0.243339253996448	208	flu	correct
data	0.807105908988567	208	flu	correct
alpha	0.298867673179396	209	flu	correct
beta	0.241496447602131	209	flu	correct
rSC	0.2351243339254	209	flu	correct
rInfSC	0.245270870337478	209	flu	correct
data	0.807116799890248	209	flu	correct
alpha	0.268539076376554	21	flu	correct
beta	0.236056838365897	21	flu	correct
rSC	0.238610124333925	21	flu	correct
rInfSC	0.24582593250444	21	flu	correct
data	0.807146577819462	21	flu	correct
alpha	0.261656305506217	210	flu	correct
beta	0.244293960923623	210	flu	correct
rSC	0.240830373001776	210	flu	correct
rInfSC	0.249666962699822	210	flu	correct
data	0.808865021143238	210	flu	correct
alpha	0.225266429840142	211	flu	correct
beta	0.241984902309059	211	flu	correct
rSC	0.240586145648313	211	flu	correct
rInfSC	0.252708703374778	211	flu	correct
data	0.809749590752791	211	flu	correct
alpha	0.263943161634103	212	flu	correct
beta	0.240364120781528	212	flu	correct
rSC	0.250510657193606	212	flu	correct
rInfSC	0.24449378330373	212	flu	correct
data	0.808509601234141	212	flu	correct
alpha	0.230728241563055	213	flu	correct
beta	0.243117229129663	213	flu	correct
rSC	0.242184724689165	213	flu	correct
rInfSC	0.246114564831261	213	flu	correct
data	0.807996638422809	213	flu	correct
alpha	0.234813499111901	214	flu	correct
beta	0.248801065719361	214	flu	correct
rSC	0.249866785079929	214	flu	correct
rInfSC	0.25461811722913	214	flu	correct
data	0.810415139233619	214	flu	correct
alpha	0.268317051509769	215	flu	correct
beta	0.232859680284192	215	flu	correct
rSC	0.226398756660746	215	flu	correct
rInfSC	0.252264653641208	215	flu	correct
data	0.807446811433207	215	flu	correct
alpha	0.201354351687389	216	flu	correct
beta	0.238210479573712	216	flu	correct
rSC	0.242073712255773	216	flu	correct
rInfSC	0.259413854351687	216	flu	correct
data	0.81181226138275	216	flu	correct
alpha	0.254817939609236	217	flu	correct
beta	0.236589698046181	217	flu	correct
rSC	0.229396092362345	217	flu	correct
rInfSC	0.247557726465364	217	flu	correct
data	0.808727254247421	217	flu	correct
alpha	0.243250444049734	218	flu	correct
beta	0.242739786856128	218	flu	correct
rSC	0.23408081705151	218	flu	correct
rInfSC	0.239320603907638	218	flu	correct
data	0.807923051211523	218	flu	correct
alpha	0.270248667850799	219	flu	correct
beta	0.241918294849023	219	flu	correct
rSC	0.234635879218472	219	flu	correct
rInfSC	0.245803730017762	219	flu	correct
data	0.809402235567866	219	flu	correct
alpha	0.302198046181172	22	flu	correct
beta	0.23288188277087	22	flu	correct
rSC	0.227331261101243	22	flu	correct
rInfSC	0.240164298401421	22	flu	correct
data	0.804704285217989	22	flu	correct
alpha	0.301132326820604	220	flu	correct
beta	0.238210479573712	220	flu	correct
rSC	0.238010657193606	220	flu	correct
rInfSC	0.239742451154529	220	flu	correct
data	0.806400386458447	220	flu	correct
alpha	0.203619005328597	221	flu	correct
beta	0.243783303730018	221	flu	correct
rSC	0.242362344582593	221	flu	correct
rInfSC	0.262544404973357	221	flu	correct
data	0.811294727573591	221	flu	correct
alpha	0.252642095914742	222	flu	correct
beta	0.241341030195382	222	flu	correct
rSC	0.237877442273535	222	flu	correct
rInfSC	0.249689165186501	222	flu	correct
data	0.807814933928636	222	flu	correct
alpha	0.217717584369449	223	flu	correct
beta	0.243339253996448	223	flu	correct
rSC	0.237677619893428	223	flu	correct
rInfSC	0.249711367673179	223	flu	correct
data	0.809590423955465	223	flu	correct
alpha	0.266252220248668	224	flu	correct
beta	0.244005328596803	224	flu	correct
rSC	0.236478685612789	224	flu	correct
rInfSC	0.257260213143872	224	flu	correct
data	0.807508189966268	224	flu	correct
