nSim	inference	data	correct_inference	combination	median	q97_5	q2_5
36	heterogeneous	heterogeneous	correct	flu	0.473371492196618	0.525655559235806	0.419102248790128
37	heterogeneous	heterogeneous	correct	flu	0.508155462300654	0.561672433422274	0.455817858238698
38	heterogeneous	heterogeneous	correct	flu	0.542689274624288	0.589926561389044	0.492030499890269
39	heterogeneous	heterogeneous	correct	flu	0.468766319056859	0.520794151830144	0.419073406489525
4	heterogeneous	heterogeneous	correct	flu	0.469105328159717	0.521826917285038	0.418253491686297
40	heterogeneous	heterogeneous	correct	flu	0.497650163286925	0.55125218308836	0.445822837017838
41	heterogeneous	heterogeneous	correct	flu	0.490526946781434	0.541492851059154	0.438234733330064
42	heterogeneous	heterogeneous	correct	flu	0.513752214158899	0.562058659289862	0.461830381096971
43	heterogeneous	heterogeneous	correct	flu	0.466920463950724	0.518350842508309	0.415130532499462
44	heterogeneous	heterogeneous	correct	flu	0.481253041834619	0.533910185931364	0.430866997007523
45	heterogeneous	heterogeneous	correct	flu	0.490800402765387	0.541859707841068	0.437622746579288
46	heterogeneous	heterogeneous	correct	flu	0.467997349494655	0.520231068927985	0.41735868115895
47	heterogeneous	heterogeneous	correct	flu	0.461348839543075	0.51591237973841	0.40970274749845
48	heterogeneous	heterogeneous	correct	flu	0.475052388820913	0.526921384044994	0.423321533742686
49	heterogeneous	heterogeneous	correct	flu	0.497655541706848	0.548096492060555	0.443927709155808
5	heterogeneous	heterogeneous	correct	flu	0.444079760800878	0.499833264635385	0.391438593295775
50	heterogeneous	heterogeneous	correct	flu	0.490688217614849	0.542288459291737	0.437526660865944
51	heterogeneous	heterogeneous	correct	flu	0.502655282832737	0.554612113604468	0.450746054225902
52	heterogeneous	heterogeneous	correct	flu	0.478742427418313	0.533504032859671	0.423707091366481
53	heterogeneous	heterogeneous	correct	flu	0.49270769187312	0.546462811299333	0.443773244854653
54	heterogeneous	heterogeneous	correct	flu	0.508830203986336	0.559648844542275	0.456154944986309
55	heterogeneous	heterogeneous	correct	flu	0.50189637729412	0.553354128039471	0.444815136820847
56	heterogeneous	heterogeneous	correct	flu	0.486513208111265	0.537131595719409	0.433229411182284
57	heterogeneous	heterogeneous	correct	flu	0.482612738902653	0.53507079208808	0.429669661077665
58	heterogeneous	heterogeneous	correct	flu	0.51627513912696	0.569604847082867	0.460603420686352
59	heterogeneous	heterogeneous	correct	flu	0.486919202718988	0.538033656163861	0.43330631888721
6	heterogeneous	heterogeneous	correct	flu	0.504580931842159	0.559944728433272	0.450844327762869
60	heterogeneous	heterogeneous	correct	flu	0.504237688185275	0.554691468481238	0.451764811573514
61	heterogeneous	heterogeneous	correct	flu	0.470372619089075	0.523282410926432	0.417125515839409
62	heterogeneous	heterogeneous	correct	flu	0.505056216505084	0.554898737815784	0.454115146219301
63	heterogeneous	heterogeneous	correct	flu	0.464847862825106	0.518381840019613	0.411031241601548
64	heterogeneous	heterogeneous	correct	flu	0.527906162314177	0.578118076651428	0.475792971716036
65	heterogeneous	heterogeneous	correct	flu	0.47278461239229	0.526007606979223	0.420842941812784
66	heterogeneous	heterogeneous	correct	flu	0.490680490951187	0.541004964825986	0.438858391491958
67	heterogeneous	heterogeneous	correct	flu	0.523548749437203	0.570920522282393	0.473185086022337
68	heterogeneous	heterogeneous	correct	flu	0.489928994212176	0.538292759727637	0.437383169947724
69	heterogeneous	heterogeneous	correct	flu	0.482481408929511	0.537519414161623	0.429824335127498
7	heterogeneous	heterogeneous	correct	flu	0.473290845488482	0.525877246444937	0.418804689152605
70	heterogeneous	heterogeneous	correct	flu	0.522153385388035	0.578152045429001	0.469745545626047
71	heterogeneous	heterogeneous	correct	flu	0.484842743885451	0.537257645926026	0.432047813299954
72	heterogeneous	heterogeneous	correct	flu	0.460810137149384	0.510008583443604	0.407975491131715
73	heterogeneous	heterogeneous	correct	flu	0.471843792142834	0.523376324017145	0.418048967959422
74	heterogeneous	heterogeneous	correct	flu	0.544410538849604	0.595145283464444	0.488016267843992
75	heterogeneous	heterogeneous	correct	flu	0.493931703802329	0.547724345345494	0.441634032091739
76	heterogeneous	heterogeneous	correct	flu	0.493089610635452	0.545277095671618	0.44014015268168
77	heterogeneous	heterogeneous	correct	flu	0.46949168400987	0.518199017368231	0.414640791960302
78	heterogeneous	heterogeneous	correct	flu	0.516327681304139	0.568234010748322	0.463968247298342
79	heterogeneous	heterogeneous	correct	flu	0.474073741000286	0.525860138775745	0.420997531828033
8	heterogeneous	heterogeneous	correct	flu	0.5013024626473	0.554508267325147	0.450893512275077
80	heterogeneous	heterogeneous	correct	flu	0.494476468608481	0.545674038109076	0.441426470099012
81	heterogeneous	heterogeneous	correct	flu	0.439566992456913	0.493892188212831	0.386184798285948
82	heterogeneous	heterogeneous	correct	flu	0.509078070477942	0.5553915503723	0.460309020344556
83	heterogeneous	heterogeneous	correct	flu	0.475027350923105	0.528182288662253	0.418709174365718
84	heterogeneous	heterogeneous	correct	flu	0.465802002715103	0.519985315777609	0.413098316242592
85	heterogeneous	heterogeneous	correct	flu	0.482855119508157	0.534101107735348	0.430500010408537
86	heterogeneous	heterogeneous	correct	flu	0.516019462939996	0.565550080394361	0.465957887928485
87	heterogeneous	heterogeneous	correct	flu	0.498906508488839	0.553267661435498	0.450412247608677
88	heterogeneous	heterogeneous	correct	flu	0.538225310683615	0.590096907471976	0.485632101231054
89	heterogeneous	heterogeneous	correct	flu	0.490236889118705	0.544024216592307	0.436439125033173
9	heterogeneous	heterogeneous	correct	flu	0.479870758765373	0.531699393850686	0.429270969606262
90	heterogeneous	heterogeneous	correct	flu	0.471663487378054	0.524026935936032	0.417731251269612
91	heterogeneous	heterogeneous	correct	flu	0.48253206131824	0.537597874916069	0.430510693660155
92	heterogeneous	heterogeneous	correct	flu	0.540684680339405	0.592617262714815	0.489558378354595
93	heterogeneous	heterogeneous	correct	flu	0.486648161383804	0.536437995857946	0.43500168985558
94	heterogeneous	heterogeneous	correct	flu	0.507528767202791	0.556413560503318	0.454552777129726
95	heterogeneous	heterogeneous	correct	flu	0.49283170428642	0.547978402613475	0.438228734724731
96	heterogeneous	heterogeneous	correct	flu	0.514097822341813	0.570715009572443	0.461494432284902
97	heterogeneous	heterogeneous	correct	flu	0.501426197690956	0.555772892665783	0.447227721307651
98	heterogeneous	heterogeneous	correct	flu	0.451765624198335	0.505064693540931	0.401899747899444
99	heterogeneous	heterogeneous	correct	flu	0.464593904545585	0.520277717532194	0.408509608919385
1	heterogeneous	heterogeneous	correct	covid	0.304869322533361	0.350157203893711	0.258469907900494
10	heterogeneous	heterogeneous	correct	covid	0.310806631747978	0.361231441917033	0.263227893496948
100	heterogeneous	heterogeneous	correct	covid	0.300263219561522	0.347565594794908	0.252122296192194
11	heterogeneous	heterogeneous	correct	covid	0.284953259417004	0.331813609699553	0.238875059850839
12	heterogeneous	heterogeneous	correct	covid	0.269924575497011	0.317695478060921	0.225402297624324
13	heterogeneous	heterogeneous	correct	covid	0.306023490436919	0.351746548479187	0.258536687476654
14	heterogeneous	heterogeneous	correct	covid	0.280735502470735	0.32687920597156	0.236966911619162
15	heterogeneous	heterogeneous	correct	covid	0.334253176626472	0.381884068605889	0.28665947697301
16	heterogeneous	heterogeneous	correct	covid	0.285396031820308	0.334163830680602	0.237768461458141
17	heterogeneous	heterogeneous	correct	covid	0.316461644445659	0.366451131302875	0.270947853089711
18	heterogeneous	heterogeneous	correct	covid	0.294936264435408	0.343063904258876	0.248381857761571
19	heterogeneous	heterogeneous	correct	covid	0.275641305723643	0.324190178462569	0.229532859578942
2	heterogeneous	heterogeneous	correct	covid	0.291523283073184	0.342946123205076	0.244011900002612
20	heterogeneous	heterogeneous	correct	covid	0.309602208245757	0.359104409213519	0.257049134030089
21	heterogeneous	heterogeneous	correct	covid	0.303635496352608	0.350873058529982	0.256190598131567
22	heterogeneous	heterogeneous	correct	covid	0.298838865558809	0.346068996630792	0.255018493727038
23	heterogeneous	heterogeneous	correct	covid	0.365364622111735	0.415146609379993	0.317753507148504
24	heterogeneous	heterogeneous	correct	covid	0.260377542736678	0.307466068356153	0.216691162853751
25	heterogeneous	heterogeneous	correct	covid	0.340818088340317	0.391655635829617	0.294557051121231
26	heterogeneous	heterogeneous	correct	covid	0.284800041250709	0.331802359771692	0.238734995511459
27	heterogeneous	heterogeneous	correct	covid	0.290336939086027	0.342440452912156	0.245874012851126
28	heterogeneous	heterogeneous	correct	covid	0.328484017559949	0.378358690926391	0.278357371221661
29	heterogeneous	heterogeneous	correct	covid	0.276295286649541	0.323097652179199	0.230165437314499
3	heterogeneous	heterogeneous	correct	covid	0.276259336636894	0.320396652961955	0.233658218523922
30	heterogeneous	heterogeneous	correct	covid	0.266713791657628	0.314984778678633	0.222955963714156
31	heterogeneous	heterogeneous	correct	covid	0.280971426946685	0.328290484873354	0.233631154976175
32	heterogeneous	heterogeneous	correct	covid	0.327293594553351	0.379212634880934	0.2771955244249
33	heterogeneous	heterogeneous	correct	covid	0.295174502101836	0.341350184369608	0.248506535985978
34	heterogeneous	heterogeneous	correct	covid	0.320900079113521	0.370413040990364	0.271211892030783
35	heterogeneous	heterogeneous	correct	covid	0.295529070477585	0.346782345294898	0.244114004728518
36	heterogeneous	heterogeneous	correct	covid	0.263832040098154	0.31244606937036	0.218504531260717
37	heterogeneous	heterogeneous	correct	covid	0.290324000754506	0.337813791194392	0.242733193851283
38	heterogeneous	heterogeneous	correct	covid	0.285288489730851	0.333879785646553	0.241329787952989
39	heterogeneous	heterogeneous	correct	covid	0.277223491294748	0.326313157261896	0.228890058951211
4	heterogeneous	heterogeneous	correct	covid	0.27447952460807	0.321521642998232	0.227964176702735
40	heterogeneous	heterogeneous	correct	covid	0.289376205718307	0.34259906354665	0.241762969557529
41	heterogeneous	heterogeneous	correct	covid	0.283422294117347	0.331636693997905	0.235725005040452
42	heterogeneous	heterogeneous	correct	covid	0.285415782886606	0.334220226014001	0.239554822416601
43	heterogeneous	heterogeneous	correct	covid	0.27995655674635	0.326244398957026	0.236091090765859
44	heterogeneous	heterogeneous	correct	covid	0.258117632893766	0.305472855114471	0.211571431849178
45	heterogeneous	heterogeneous	correct	covid	0.304485601555268	0.351394486758147	0.259582748531142
46	heterogeneous	heterogeneous	correct	covid	0.293352299514519	0.341765557438273	0.245314471182623
47	heterogeneous	heterogeneous	correct	covid	0.23296161345458	0.281039964484406	0.19089460842343
48	heterogeneous	heterogeneous	correct	covid	0.265615186444871	0.312982223749604	0.221866697108858
49	heterogeneous	heterogeneous	correct	covid	0.303566345400474	0.353737499298291	0.254321010015476
5	heterogeneous	heterogeneous	correct	covid	0.306408835245388	0.355412183250742	0.259867015894855
50	heterogeneous	heterogeneous	correct	covid	0.297043476160555	0.347083903603563	0.248986243271329
51	heterogeneous	heterogeneous	correct	covid	0.332742981188691	0.380413677563641	0.287865131469208
52	heterogeneous	heterogeneous	correct	covid	0.297355814697426	0.347438343451935	0.252816200190372
53	heterogeneous	heterogeneous	correct	covid	0.326039450256027	0.37592004220645	0.279467527821458
54	heterogeneous	heterogeneous	correct	covid	0.26634090681508	0.310900833060432	0.221310086834427
55	heterogeneous	heterogeneous	correct	covid	0.32759816052109	0.37690540993807	0.279222257399196
56	heterogeneous	heterogeneous	correct	covid	0.347184079337586	0.397131311807138	0.299902336053011
57	heterogeneous	heterogeneous	correct	covid	0.27943969872901	0.325230216022893	0.236171934774771
58	heterogeneous	heterogeneous	correct	covid	0.271169088650681	0.319772954111642	0.22417170881275
59	heterogeneous	heterogeneous	correct	covid	0.282486969659532	0.329283350240263	0.237273783052277
6	heterogeneous	heterogeneous	correct	covid	0.255685596095372	0.301209551382721	0.212347418458981
60	heterogeneous	heterogeneous	correct	covid	0.318248961001001	0.364145503520169	0.270560164433728
61	heterogeneous	heterogeneous	correct	covid	0.277180180939662	0.325848538448707	0.233837474671056
62	heterogeneous	heterogeneous	correct	covid	0.275500333037069	0.322469910808662	0.231318025769401
63	heterogeneous	heterogeneous	correct	covid	0.305500537481858	0.356329480254356	0.260143021930902
64	heterogeneous	heterogeneous	correct	covid	0.241557188996101	0.289426347921717	0.197257387895727
65	heterogeneous	heterogeneous	correct	covid	0.271842645929259	0.325744147867112	0.226249258792787
66	heterogeneous	heterogeneous	correct	covid	0.276930379857856	0.323566605724484	0.232485406142763
67	heterogeneous	heterogeneous	correct	covid	0.285378313424022	0.332030507562809	0.239343052992902
68	heterogeneous	heterogeneous	correct	covid	0.306694199028076	0.353027041948988	0.258611020850648
69	heterogeneous	heterogeneous	correct	covid	0.307859005139342	0.354420656803944	0.264019517221796
7	heterogeneous	heterogeneous	correct	covid	0.317840128745175	0.368012519267905	0.264314279166831
70	heterogeneous	heterogeneous	correct	covid	0.324646558964552	0.372819078661123	0.277040905733798
71	heterogeneous	heterogeneous	correct	covid	0.275203652523732	0.321383390755382	0.231099474392136
72	heterogeneous	heterogeneous	correct	covid	0.307288485031955	0.353793404309163	0.261336601177828
73	heterogeneous	heterogeneous	correct	covid	0.318637441332152	0.368572287819391	0.269289033454326
74	heterogeneous	heterogeneous	correct	covid	0.300218871833982	0.34860922088998	0.249796558456139
75	heterogeneous	heterogeneous	correct	covid	0.222365061230375	0.269769064652336	0.17729656057391
76	heterogeneous	heterogeneous	correct	covid	0.31694644514675	0.365917861898504	0.27022986034305
77	heterogeneous	heterogeneous	correct	covid	0.286595852396381	0.336818558106823	0.238442976064456
78	heterogeneous	heterogeneous	correct	covid	0.273450141913051	0.321405831764995	0.225505093461895
79	heterogeneous	heterogeneous	correct	covid	0.313195662955007	0.360185525277266	0.267704653551649
8	heterogeneous	heterogeneous	correct	covid	0.336752047101857	0.387311832029567	0.287807512309682
80	heterogeneous	heterogeneous	correct	covid	0.266046381456922	0.314075256681127	0.217199421891519
81	heterogeneous	heterogeneous	correct	covid	0.250955259796591	0.301103675278819	0.208912351885285
82	heterogeneous	heterogeneous	correct	covid	0.261389299718174	0.310926406295008	0.214328429695193
83	heterogeneous	heterogeneous	correct	covid	0.294340704692092	0.342362423066301	0.246023643511923
84	heterogeneous	heterogeneous	correct	covid	0.277296906148499	0.329598323602432	0.230454029565914
85	heterogeneous	heterogeneous	correct	covid	0.309259916119887	0.358468585739133	0.25791924092832
86	heterogeneous	heterogeneous	correct	covid	0.269071016582955	0.314389267519647	0.225344678162819
87	heterogeneous	heterogeneous	correct	covid	0.306089572591543	0.350050640038422	0.260159530204786
88	heterogeneous	heterogeneous	correct	covid	0.333602540332281	0.383697575660861	0.28609441283397
89	heterogeneous	heterogeneous	correct	covid	0.290042101391881	0.338783895538922	0.243058297526144
9	heterogeneous	heterogeneous	correct	covid	0.282032132226552	0.328935992691862	0.232594898577295
90	heterogeneous	heterogeneous	correct	covid	0.284640407113788	0.330582179645706	0.237308077122796
91	heterogeneous	heterogeneous	correct	covid	0.340880352579802	0.392773634717125	0.292529526706561
92	heterogeneous	heterogeneous	correct	covid	0.319241876139529	0.369473466111692	0.272359242078655
93	heterogeneous	heterogeneous	correct	covid	0.323508959796686	0.371577234006862	0.276494743188425
94	heterogeneous	heterogeneous	correct	covid	0.283040416822998	0.328758744637936	0.236094808192712
95	heterogeneous	heterogeneous	correct	covid	0.319249126686866	0.366236195797927	0.272927653327935
96	heterogeneous	heterogeneous	correct	covid	0.313582574959951	0.36625654426562	0.263150019345513
97	heterogeneous	heterogeneous	correct	covid	0.294250576916133	0.343826739881919	0.245818336920234
98	heterogeneous	heterogeneous	correct	covid	0.307044557668983	0.359061323377745	0.256199672967919
99	heterogeneous	heterogeneous	correct	covid	0.270323324334072	0.316454438782195	0.225530822841613
1	homogeneous	heterogeneous	incorrect	flu	0.434842074311684	0.481827920690675	0.390429981775651
10	homogeneous	heterogeneous	incorrect	flu	0.376537425772283	0.420483212344253	0.332872842872072
100	homogeneous	heterogeneous	incorrect	flu	0.405151182465685	0.449223221767822	0.361864976648195
11	homogeneous	heterogeneous	incorrect	flu	0.39139257518122	0.434109724706697	0.344192389625272
12	homogeneous	heterogeneous	incorrect	flu	0.381874021763774	0.424301883709454	0.339055164231526
13	homogeneous	heterogeneous	incorrect	flu	0.417328116302147	0.461166740139954	0.373443900537684
14	homogeneous	heterogeneous	incorrect	flu	0.403963454307101	0.451139207621969	0.360327648939948
15	homogeneous	heterogeneous	incorrect	flu	0.376188992801905	0.421743873893364	0.332223584700629
16	homogeneous	heterogeneous	incorrect	flu	0.415636393764338	0.459769786735646	0.372570036097523
17	homogeneous	heterogeneous	incorrect	flu	0.416792900763683	0.463000153713494	0.369979456820094
18	homogeneous	heterogeneous	incorrect	flu	0.402113571568934	0.444475800192287	0.354526010620802
19	homogeneous	heterogeneous	incorrect	flu	0.398533222730817	0.441824213668227	0.354248350464776
2	homogeneous	heterogeneous	incorrect	flu	0.409022740429248	0.456599107385741	0.361962612723308
20	homogeneous	heterogeneous	incorrect	flu	0.403241318344331	0.448407379959654	0.356580574751734
21	homogeneous	heterogeneous	incorrect	flu	0.406463695543734	0.450038807560071	0.360409620256073
22	homogeneous	heterogeneous	incorrect	flu	0.425858757603956	0.469565291108116	0.383167756557136
23	homogeneous	heterogeneous	incorrect	flu	0.4188737279791	0.465278001779484	0.371898277965673
24	homogeneous	heterogeneous	incorrect	flu	0.374213845729807	0.41839399624155	0.328340853973755
25	homogeneous	heterogeneous	incorrect	flu	0.335355015329929	0.379907883513475	0.29153092501334
26	homogeneous	heterogeneous	incorrect	flu	0.381219792093533	0.424608111265988	0.336574684147345
27	homogeneous	heterogeneous	incorrect	flu	0.431699469799118	0.475419849090588	0.387681231265456
28	homogeneous	heterogeneous	incorrect	flu	0.478028885313396	0.521339086914471	0.432193040173263
29	homogeneous	heterogeneous	incorrect	flu	0.37800561124633	0.425607027165622	0.334219588651566
3	homogeneous	heterogeneous	incorrect	flu	0.401650901950548	0.447174327752133	0.356327859473863
30	homogeneous	heterogeneous	incorrect	flu	0.44880913645966	0.489765012798641	0.403657116451311
31	homogeneous	heterogeneous	incorrect	flu	0.410487661126121	0.456710890114527	0.365438147449234
32	homogeneous	heterogeneous	incorrect	flu	0.41476772357658	0.458768459518942	0.370522576283262
33	homogeneous	heterogeneous	incorrect	flu	0.375505656555179	0.420704622235645	0.333304570370018
34	homogeneous	heterogeneous	incorrect	flu	0.351283386811775	0.395128892326311	0.308776105310661
35	homogeneous	heterogeneous	incorrect	flu	0.36670845514468	0.411234024502311	0.324113269661471
36	homogeneous	heterogeneous	incorrect	flu	0.38924434586758	0.43422834552962	0.346073421181596
37	homogeneous	heterogeneous	incorrect	flu	0.414322387927432	0.459025771413007	0.366958963383656
38	homogeneous	heterogeneous	incorrect	flu	0.44472867956337	0.486285939145521	0.403273184115105
39	homogeneous	heterogeneous	incorrect	flu	0.385014139046861	0.428422534250139	0.340370109151924
4	homogeneous	heterogeneous	incorrect	flu	0.380870989895978	0.427886449735504	0.336564248282378
40	homogeneous	heterogeneous	incorrect	flu	0.406869569370122	0.45287970544905	0.361706320843508
41	homogeneous	heterogeneous	incorrect	flu	0.398677005651954	0.443456556155984	0.351706132927597
42	homogeneous	heterogeneous	incorrect	flu	0.418501438764467	0.462898052469404	0.374622218831994
43	homogeneous	heterogeneous	incorrect	flu	0.380530563623504	0.425620998515178	0.338161696017632
44	homogeneous	heterogeneous	incorrect	flu	0.389757711728692	0.432151229644615	0.345410061988267
45	homogeneous	heterogeneous	incorrect	flu	0.39908948993018	0.444031544066701	0.353860724960057
46	homogeneous	heterogeneous	incorrect	flu	0.375734290537194	0.421023118253252	0.332958575824062
47	homogeneous	heterogeneous	incorrect	flu	0.379045133955876	0.424645245680109	0.335228302911037
48	homogeneous	heterogeneous	incorrect	flu	0.385545386045964	0.431048605498827	0.341640721647518
49	homogeneous	heterogeneous	incorrect	flu	0.404653618261402	0.448177390719034	0.358827620399799
5	homogeneous	heterogeneous	incorrect	flu	0.35612617926861	0.404337173881928	0.313761040499633
50	homogeneous	heterogeneous	incorrect	flu	0.400550292970041	0.447275210924646	0.35479267408658
51	homogeneous	heterogeneous	incorrect	flu	0.40973136904522	0.454044172417133	0.3667609195307
52	homogeneous	heterogeneous	incorrect	flu	0.389649203598731	0.434592490973423	0.343197187764497
53	homogeneous	heterogeneous	incorrect	flu	0.399949579782026	0.446775114786587	0.353866926071017
54	homogeneous	heterogeneous	incorrect	flu	0.413233049867274	0.457224509731097	0.367918026913585
55	homogeneous	heterogeneous	incorrect	flu	0.409071563157042	0.454115103446872	0.36285506948309
56	homogeneous	heterogeneous	incorrect	flu	0.393393058838087	0.4371325213593	0.348265572436899
57	homogeneous	heterogeneous	incorrect	flu	0.390437638840094	0.435869428139135	0.344954898912317
58	homogeneous	heterogeneous	incorrect	flu	0.41520886658467	0.460792694988785	0.369699922546018
59	homogeneous	heterogeneous	incorrect	flu	0.396874014777086	0.441915951056289	0.35313376248224
6	homogeneous	heterogeneous	incorrect	flu	0.410327039380268	0.455163245120909	0.363352036337217
60	homogeneous	heterogeneous	incorrect	flu	0.4123477325403	0.455542410039493	0.366317653562614
61	homogeneous	heterogeneous	incorrect	flu	0.385211632198788	0.429724677022489	0.34100485480492
62	homogeneous	heterogeneous	incorrect	flu	0.413123685132315	0.455807632997877	0.371112502018116
63	homogeneous	heterogeneous	incorrect	flu	0.377774052729311	0.423350942255344	0.333478938125542
64	homogeneous	heterogeneous	incorrect	flu	0.431697217483262	0.477061089813403	0.385566332448395
65	homogeneous	heterogeneous	incorrect	flu	0.38240771985073	0.428831022515122	0.337684576144542
66	homogeneous	heterogeneous	incorrect	flu	0.394157091902515	0.43904881839469	0.350337238361279
67	homogeneous	heterogeneous	incorrect	flu	0.427479711595198	0.471737457739155	0.384015716341625
68	homogeneous	heterogeneous	incorrect	flu	0.404448394147746	0.446534740416815	0.359287685554042
69	homogeneous	heterogeneous	incorrect	flu	0.393398231256365	0.439164461691285	0.348826166357805
7	homogeneous	heterogeneous	incorrect	flu	0.385852515621398	0.431228756374768	0.340784623072162
70	homogeneous	heterogeneous	incorrect	flu	0.422779413054659	0.46796445870283	0.376783908531944
71	homogeneous	heterogeneous	incorrect	flu	0.394102285552769	0.44015268883896	0.34925269271114
72	homogeneous	heterogeneous	incorrect	flu	0.377540772813515	0.418858665885329	0.334710439382866
73	homogeneous	heterogeneous	incorrect	flu	0.383932101385864	0.42508138481401	0.340166135560148
74	homogeneous	heterogeneous	incorrect	flu	0.44389790902191	0.488730646102136	0.39646700555577
75	homogeneous	heterogeneous	incorrect	flu	0.403694736571985	0.451775475172493	0.358530276198323
76	homogeneous	heterogeneous	incorrect	flu	0.404346072749399	0.450709832236168	0.359461429838529
77	homogeneous	heterogeneous	incorrect	flu	0.383706828287642	0.427026527000016	0.339000935472929
78	homogeneous	heterogeneous	incorrect	flu	0.417048109208614	0.462474552620533	0.372207543025703
79	homogeneous	heterogeneous	incorrect	flu	0.382788310162569	0.426493444973214	0.338119002165396
8	homogeneous	heterogeneous	incorrect	flu	0.407328168543005	0.453724557831037	0.36203756815906
80	homogeneous	heterogeneous	incorrect	flu	0.403459754476578	0.446925997487695	0.361127184190104
81	homogeneous	heterogeneous	incorrect	flu	0.356220737392735	0.400404658552263	0.31131875847274
82	homogeneous	heterogeneous	incorrect	flu	0.415606009526353	0.459864443254964	0.373983993363192
83	homogeneous	heterogeneous	incorrect	flu	0.387375932740196	0.433755008662194	0.341675177769565
84	homogeneous	heterogeneous	incorrect	flu	0.38015883509423	0.424901922853046	0.335590643269532
85	homogeneous	heterogeneous	incorrect	flu	0.393820609684359	0.437514375407938	0.347359226309323
86	homogeneous	heterogeneous	incorrect	flu	0.419512440908053	0.465345060539028	0.374689086100534
87	homogeneous	heterogeneous	incorrect	flu	0.410597821527281	0.454859288616345	0.366240631774858
88	homogeneous	heterogeneous	incorrect	flu	0.438321313232623	0.482655700903349	0.393379800663426
89	homogeneous	heterogeneous	incorrect	flu	0.398200873038936	0.445123264880344	0.353333101182817
9	homogeneous	heterogeneous	incorrect	flu	0.394352105684329	0.439876893178507	0.350827072812048
90	homogeneous	heterogeneous	incorrect	flu	0.38323691218519	0.427119545331015	0.337641298330047
91	homogeneous	heterogeneous	incorrect	flu	0.395714394342412	0.441634331416896	0.350170296131479
92	homogeneous	heterogeneous	incorrect	flu	0.440709580025258	0.484428416719744	0.39652800530753
93	homogeneous	heterogeneous	incorrect	flu	0.396608397762766	0.439569024446016	0.352595202503321
94	homogeneous	heterogeneous	incorrect	flu	0.411979069483182	0.45495020267182	0.366608209769506
95	homogeneous	heterogeneous	incorrect	flu	0.398594718158628	0.44386378847203	0.353380041296503
96	homogeneous	heterogeneous	incorrect	flu	0.415828415890226	0.462338963309752	0.370058389319888
97	homogeneous	heterogeneous	incorrect	flu	0.408128615549849	0.45738453379491	0.3615243315859
98	homogeneous	heterogeneous	incorrect	flu	0.368082537149932	0.413624239902576	0.325617354466996
99	homogeneous	heterogeneous	incorrect	flu	0.383835814906584	0.431758070504835	0.339387494171411
